# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EJFNJEFF_00001      K03495  294.00 1004.1  4.8e-303 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
  EJFNJEFF_01242      K20772  692.80   60.3   1.4e-17 1-aminocyclopropane-1-carboxylate synthase 1/2/6 [EC:4.4.1.14]
  EJFNJEFF_01242      K14261  525.47   58.7   3.9e-17 alanine-synthesizing transaminase [EC:2.6.1.-]
  EJFNJEFF_01242      K00835  337.40   56.8   1.7e-16 valine--pyruvate aminotransferase [EC:2.6.1.66]
  EJFNJEFF_01242      K02232  268.07   52.2   4.2e-15 adenosylcobyric acid synthase [EC:6.3.5.10]
  EJFNJEFF_01242      K01762  746.87   50.2   1.5e-14 1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]
  EJFNJEFF_01242      K14254       -   45.9     4e-13 aminotransferase
  EJFNJEFF_01242      K19549  672.87   43.7   1.6e-12 bacilysin biosynthesis transaminase BacF [EC:2.6.1.-]
  EJFNJEFF_01242      K00813  526.83   35.9   4.2e-10 aspartate aminotransferase [EC:2.6.1.1]
  EJFNJEFF_01242      K00832  556.47   35.5   6.3e-10 aromatic-amino-acid transaminase [EC:2.6.1.57]
  EJFNJEFF_01242      K00375  401.17   31.2   8.1e-09 GntR family transcriptional regulator / MocR family aminotransferase
  EJFNJEFF_01242      K09758  555.37   28.9   3.7e-08 aspartate 4-decarboxylase [EC:4.1.1.12]
  EJFNJEFF_01242      K00821  482.47   28.2   6.9e-08 acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
  EJFNJEFF_01242      K09459  363.63   27.6   8.5e-08 phosphonopyruvate decarboxylase [EC:4.1.1.82]
  EJFNJEFF_01242      K16423  410.50   26.2   2.3e-07 (S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]
  EJFNJEFF_01242      K05830  507.77   24.0   1.5e-06 LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.118 2.6.1.-]
  EJFNJEFF_01242      K00814  564.47   23.2   2.1e-06 alanine transaminase [EC:2.6.1.2]
  EJFNJEFF_01242      K01766  555.73   13.4    0.0026 cysteine sulfinate desulfinase [EC:4.4.1.-]
  EJFNJEFF_01242      K11325  333.67   13.2    0.0029 L-cysteine/cystine lyase
  EJFNJEFF_01242      K01761  492.80   13.1    0.0022 methionine-gamma-lyase [EC:4.4.1.11]
  EJFNJEFF_01242      K11717  557.40   12.6    0.0036 cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
  EJFNJEFF_01242      K17217  607.17   12.4     0.005 cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]
  EJFNJEFF_01242      K09251  497.27   12.2    0.0051 putrescine aminotransferase [EC:2.6.1.82]
  EJFNJEFF_01242      K00819  494.00   12.0    0.0049 ornithine--oxo-acid transaminase [EC:2.6.1.13]
  EJFNJEFF_01242      K00818  557.30   11.3     0.011 acetylornithine aminotransferase [EC:2.6.1.11]
  EJFNJEFF_01242      K04127  339.00    6.8      0.26 isopenicillin-N epimerase [EC:5.1.1.17]
* EJFNJEFF_01243      K07390   80.43  183.5   6.4e-55 monothiol glutaredoxin
  EJFNJEFF_01243      K03676   80.13   49.6   4.7e-14 glutaredoxin 3
  EJFNJEFF_01243      K23075  485.60   22.2   6.3e-06 glutathione amide-dependent peroxidase [EC:1.11.1.17]
  EJFNJEFF_01243      K24136  333.23   20.3   2.4e-05 glutathione-dependent peroxiredoxin [EC:1.11.1.27]
  EJFNJEFF_01243      K06191   77.17   18.2   0.00017 glutaredoxin-like protein NrdH
  EJFNJEFF_01243      K03674   90.20   16.3   0.00087 glutaredoxin 1
  EJFNJEFF_01243      K18917   77.70   12.9    0.0082 mycoredoxin [EC:1.20.4.3]
* EJFNJEFF_01244      K03286  118.77  142.1   2.9e-42 OmpA-OmpF porin, OOP family
  EJFNJEFF_01244      K03640  148.53  110.3   1.1e-32 peptidoglycan-associated lipoprotein
  EJFNJEFF_01244      K16191  196.97   96.9   2.8e-28 peptidoglycan-binding protein ArfA
  EJFNJEFF_01244      K02557  141.57   76.0   3.1e-22 chemotaxis protein MotB
  EJFNJEFF_01244      K21218  140.77   74.2   9.1e-22 sodium-type flagellar protein MotY
  EJFNJEFF_01244      K16079   91.00   69.2   4.1e-20 outer membrane immunogenic protein
  EJFNJEFF_01244      K11892  128.67   56.8   2.3e-16 type VI secretion system protein ImpK
  EJFNJEFF_01244      K12216  261.77   43.1   3.6e-12 intracellular multiplication protein IcmN
  EJFNJEFF_01244      K16078  181.40   37.5   2.4e-10 attachment invasion locus protein
  EJFNJEFF_01244      K07804  176.33   32.1   9.3e-09 putatice virulence related protein PagC
  EJFNJEFF_01244      K01681 1305.83   25.1   3.7e-07 aconitate hydratase [EC:4.2.1.3]
  EJFNJEFF_01244      K07275   68.20   19.3     7e-05 outer membrane protein
  EJFNJEFF_01244      K10936  281.47   17.8   0.00022 accessory colonization factor AcfA
  EJFNJEFF_01244      K16076  450.03   14.9    0.0014 outer membrane porin protein LC
  EJFNJEFF_01244      K02281   66.90   12.7    0.0085 pilus assembly protein CpaD
  EJFNJEFF_01244      K07274   58.43   12.5    0.0064 MipA family protein
  EJFNJEFF_01244      K09476  494.83    6.3      0.55 outer membrane pore protein F
  EJFNJEFF_01245      K00104  505.87  289.6   5.1e-87 glycolate oxidase [EC:1.1.3.15]
  EJFNJEFF_01245      K18930  474.33  266.3   5.6e-80 D-lactate dehydrogenase
  EJFNJEFF_01245      K00102  520.07  256.8     4e-77 D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
  EJFNJEFF_01245      K00113  276.37  127.7   5.3e-38 glycerol-3-phosphate dehydrogenase subunit C
  EJFNJEFF_01245      K21836       -  126.8   7.5e-38 D-lactate dehydrogenase (acceptor) [EC:1.1.99.6]
  EJFNJEFF_01245      K00803  330.17  125.0   3.3e-37 alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]
  EJFNJEFF_01245      K11472  268.33   95.8   2.8e-28 glycolate oxidase FAD binding subunit
  EJFNJEFF_01245      K03777  258.63   80.2   1.1e-23 D-lactate dehydrogenase (quinone) [EC:1.1.5.12]
  EJFNJEFF_01245      K16653  260.80   57.9   8.3e-17 decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3]
  EJFNJEFF_01245      K05797  397.40   55.3   5.3e-16 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1]
  EJFNJEFF_01245      K11473  297.13   50.9   1.2e-14 glycolate oxidase iron-sulfur subunit
  EJFNJEFF_01245      K00279  245.50   47.6   9.6e-14 cytokinin dehydrogenase [EC:1.5.99.12]
  EJFNJEFF_01245      K00103  380.60   39.6   2.4e-11 L-gulonolactone oxidase [EC:1.1.3.8]
  EJFNJEFF_01245      K08264  314.67   38.8   3.8e-11 heterodisulfide reductase subunit D [EC:1.8.98.1]
  EJFNJEFF_01245      K05888  459.53   34.8   9.1e-10 L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]
  EJFNJEFF_01245      K09828  220.13   34.0   1.1e-09 Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]
  EJFNJEFF_01245      K24452  742.47   28.5   5.1e-08 (+)-pinoresinol hydroxylase [EC:1.17.9.2]
  EJFNJEFF_01245      K18210  329.17   24.4   9.9e-07 fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]
  EJFNJEFF_01245      K21834  325.50   21.5   8.4e-06 dimethylglycine catabolism B
  EJFNJEFF_01245      K11260   72.07   16.8   0.00047 4Fe-4S ferredoxin
  EJFNJEFF_01245      K00266  511.93   15.6   0.00044 glutamate synthase (NADPH) small chain [EC:1.4.1.13]
  EJFNJEFF_01245      K05580  156.80   15.1    0.0013 NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]
  EJFNJEFF_01245      K18929  438.17   14.8   0.00079 L-lactate dehydrogenase complex protein LldF
  EJFNJEFF_01245      K15831  238.40   13.0    0.0056 formate hydrogenlyase subunit 6
  EJFNJEFF_01245      K00125  209.27   13.0    0.0038 formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
  EJFNJEFF_01245      K18557  364.73   13.0    0.0046 NADH-dependent fumarate reductase subunit B [EC:1.3.1.6]
  EJFNJEFF_01245      K03390  126.93   12.4    0.0087 heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
  EJFNJEFF_01245      K14091  112.43   12.0     0.013 ech hydrogenase subunit F
  EJFNJEFF_01245      K07079  221.57   11.8    0.0075 uncharacterized protein
  EJFNJEFF_01245      K00594  470.73   11.6    0.0083 alditol oxidase [EC:1.1.3.41]
  EJFNJEFF_01245      K12143  222.17   11.6     0.012 hydrogenase-4 component H
  EJFNJEFF_01245      K02691  103.17   11.5      0.02 photosystem I subunit VII
  EJFNJEFF_01245      K00204  167.70   11.3     0.022 4Fe-4S ferredoxin
  EJFNJEFF_01245      K00205  158.73   11.1     0.011 4Fe-4S ferredoxin
  EJFNJEFF_01245      K00188   82.23   11.0     0.028 2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
  EJFNJEFF_01245      K00192  425.30   10.2     0.011 anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
  EJFNJEFF_01245      K00782  117.67    8.8       0.1 L-lactate dehydrogenase complex protein LldG
* EJFNJEFF_01246      K19222   87.20  187.6   2.1e-56 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
  EJFNJEFF_01246      K24147  254.57  156.2   4.6e-47 proofreading thioesterase EntH
  EJFNJEFF_01246      K02614   91.17   66.2   4.7e-19 acyl-CoA thioesterase [EC:3.1.2.-]
  EJFNJEFF_01246      K17362   77.07   53.6   2.5e-15 acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]
  EJFNJEFF_01246      K18700   77.23   27.2   2.9e-07 fluoroacetyl-CoA thioesterase [EC:3.1.2.29]
* EJFNJEFF_01247      K01772   61.90  321.8   7.1e-97 protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
  EJFNJEFF_01247      K22011  126.10   17.0   0.00037 sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11]
  EJFNJEFF_01247      K08969  529.20   13.7    0.0026 L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]
  EJFNJEFF_01247      K02190  144.50   13.6    0.0023 sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
  EJFNJEFF_01247      K13010  408.07   12.9    0.0041 perosamine synthetase [EC:2.6.1.102]
  EJFNJEFF_01247      K00841  501.23   12.3    0.0045 aminotransferase [EC:2.6.1.-]
  EJFNJEFF_01247      K16436  469.10   11.0     0.014 dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]
  EJFNJEFF_01247      K04105  770.93    9.8     0.027 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]
* EJFNJEFF_01248      K05838  158.73  219.6   8.7e-66 putative thioredoxin
  EJFNJEFF_01248      K03672  157.20   68.8   5.2e-20 thioredoxin 2 [EC:1.8.1.8]
  EJFNJEFF_01248      K03671  101.70   62.0   5.9e-18 thioredoxin 1
  EJFNJEFF_01248      K03619   67.77   43.0   3.9e-12 hydrogenase-1 operon protein HyaE
  EJFNJEFF_01248      K01829  312.57   41.8     8e-12 protein disulfide-isomerase [EC:5.3.4.1]
  EJFNJEFF_01248      K09584  280.67   39.9   3.2e-11 protein disulfide-isomerase A6 [EC:5.3.4.1]
  EJFNJEFF_01248      K07121  164.87   16.7   0.00026 uncharacterized protein
  EJFNJEFF_01248      K12512  180.63   15.6   0.00065 tight adherence protein D
  EJFNJEFF_01248      K02498   96.80   14.5    0.0013 HemY protein
  EJFNJEFF_01248      K20480  178.00   14.3    0.0017 HTH-type transcriptional regulator, quorum sensing regulator NprR
  EJFNJEFF_01248      K20543  110.53   12.4    0.0032 cellulose synthase operon protein C
  EJFNJEFF_01248      K23424  191.40   11.2    0.0085 protein O-mannosyl-transferase [EC:2.4.1.-]
  EJFNJEFF_01249      K22345  575.67  542.7  2.1e-164 glucosaminate ammonia-lyase [EC:4.3.1.9]
* EJFNJEFF_01249      K00384  320.57  443.6    7e-134 thioredoxin reductase (NADPH) [EC:1.8.1.9]
  EJFNJEFF_01249      K03387  349.77  277.3   2.4e-83 NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
  EJFNJEFF_01249      K21567  367.73  155.7   1.6e-46 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
  EJFNJEFF_01249      K03671  101.70  100.6   1.2e-29 thioredoxin 1
  EJFNJEFF_01249      K00382  469.67   88.5   3.4e-26 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
  EJFNJEFF_01249      K18367  472.27   79.0   2.8e-23 CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18]
  EJFNJEFF_01249      K17870  464.10   76.2   1.8e-22 NADH oxidase (H2O2-forming) [EC:1.6.3.3]
  EJFNJEFF_01249      K00529  389.13   70.7     1e-20 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
  EJFNJEFF_01249      K17722  456.73   70.6   1.1e-20 dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]
  EJFNJEFF_01249      K00520  467.17   63.0   1.6e-18 mercuric reductase [EC:1.16.1.1]
  EJFNJEFF_01249      K22745  219.87   62.7   2.6e-18 apoptosis-inducing factor 2
  EJFNJEFF_01249      K00383  559.57   61.1   6.7e-18 glutathione reductase (NADPH) [EC:1.8.1.7]
  EJFNJEFF_01249      K00302 1271.27   59.5   1.7e-17 sarcosine oxidase, subunit alpha [EC:1.5.3.1]
  EJFNJEFF_01249      K17883  435.20   57.7   7.8e-17 mycothione reductase [EC:1.8.1.15]
  EJFNJEFF_01249      K22747  425.63   57.5   7.6e-17 apoptosis-inducing factor 3
  EJFNJEFF_01249      K00266  511.93   54.1   9.8e-16 glutamate synthase (NADPH) small chain [EC:1.4.1.13]
  EJFNJEFF_01249      K21739  458.30   51.7   6.4e-15 probable pyridine nucleotide-disulfide oxidoreductase
  EJFNJEFF_01249      K22549  446.50   48.6   4.4e-14 D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
  EJFNJEFF_01249      K15022  606.33   45.8     3e-13 formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]
  EJFNJEFF_01249      K10797  673.07   44.4   6.5e-13 2-enoate reductase [EC:1.3.1.31]
  EJFNJEFF_01249      K22364  797.07   42.4   2.6e-12 2-oxopropyl-CoM reductase (carboxylating) [EC:1.8.1.5]
  EJFNJEFF_01249      K00362  523.63   41.7   3.7e-12 nitrite reductase (NADH) large subunit [EC:1.7.1.15]
  EJFNJEFF_01249      K12527  594.47   40.4   7.7e-12 putative selenate reductase [EC:1.97.1.9]
  EJFNJEFF_01249      K23842  539.43   39.5   3.3e-11 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  EJFNJEFF_01249      K00360  528.77   39.2   3.6e-11 assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
  EJFNJEFF_01249      K08255  579.27   38.9   5.1e-11 CoA-disulfide reductase [EC:1.8.1.14]
  EJFNJEFF_01249      K05297  423.30   38.3   5.9e-11 rubredoxin---NAD+ reductase [EC:1.18.1.1]
  EJFNJEFF_01249      K21833  739.10   37.4   8.2e-11 dimethylglycine catabolism A
  EJFNJEFF_01249      K03388  667.43   36.3   1.7e-10 heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
  EJFNJEFF_01249      K05910  521.50   35.9   3.7e-10 NADH peroxidase [EC:1.11.1.1]
  EJFNJEFF_01249      K12265  420.93   35.7   4.9e-10 nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]
  EJFNJEFF_01249      K21738  558.60   33.7   1.5e-09 rubredoxin---NAD+ reductase [EC:1.18.1.1]
  EJFNJEFF_01249      K00219  581.60   32.9   1.7e-09 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
  EJFNJEFF_01249      K22086 1336.03   32.4   1.9e-09 methylglutamate dehydrogenase subunit C [EC:1.5.99.5]
  EJFNJEFF_01249      K18249  628.83   32.1   5.5e-09 anthranilate 1,2-dioxygenase ferredoxin reductase component [EC:1.18.1.-]
  EJFNJEFF_01249      K07137  105.40   31.8   5.3e-09 uncharacterized protein
  EJFNJEFF_01249      K00322  430.37   31.7   5.4e-09 NAD(P) transhydrogenase [EC:1.6.1.1]
  EJFNJEFF_01249      K20202  968.90   31.5   6.1e-09 sulfide dehydrogenase subunit alpha [EC:1.8.1.19]
  EJFNJEFF_01249      K23076  828.33   31.1   1.1e-08 glutathione amide reductase [EC:1.8.1.16]
  EJFNJEFF_01249      K21401  224.47   30.6   1.7e-08 menaquinone-9 beta-reductase [EC:1.3.99.38]
  EJFNJEFF_01249      K22879  195.83   30.5   9.9e-09 FAD-dependent urate hydroxylase [EC:1.14.13.113]
  EJFNJEFF_01249      K24954  667.00   28.9   3.5e-08 octopine oxidase subunit A
  EJFNJEFF_01249      K00485  255.03   28.5   4.3e-08 dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]
  EJFNJEFF_01249      K11816  299.80   28.3   6.4e-08 indole-3-pyruvate monooxygenase [EC:1.14.13.168]
  EJFNJEFF_01249      K18088  681.40   27.7   1.1e-07 biphenyl 2,3-dioxygenase ferredoxin reductase component [EC:1.18.1.3]
  EJFNJEFF_01249      K04940  210.63   27.6   1.4e-07 opine dehydrogenase [EC:1.5.1.28]
  EJFNJEFF_01249      K17830  252.87   27.2   1.5e-07 digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
  EJFNJEFF_01249      K22551  972.27   23.6   1.3e-06 N-methyl-L-proline demethylase [EC:1.5.3.-]
  EJFNJEFF_01249      K07222  281.03   23.6   1.9e-06 putative flavoprotein involved in K+ transport
  EJFNJEFF_01249      K17229  217.87   23.5   2.3e-06 sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]
  EJFNJEFF_01249      K18090  857.17   23.3   3.3e-06 benzene/toluene/chlorobenzene dioxygenase ferredoxin reductase component [EC:1.18.1.3 1.18.1.-]
  EJFNJEFF_01249      K18559  795.57   23.0   3.1e-06 NADH-dependent fumarate reductase subunit D
  EJFNJEFF_01249      K10531  378.97   22.4   3.8e-06 L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
  EJFNJEFF_01249      K17869  792.97   22.3   3.8e-06 NADH oxidase (H2O-forming) [EC:1.6.3.4]
  EJFNJEFF_01249      K03379  564.33   22.1   5.3e-06 cyclohexanone monooxygenase [EC:1.14.13.22]
  EJFNJEFF_01249      K03423  744.60   20.4   1.8e-05 bis-gamma-glutamylcystine reductase [EC:1.8.1.13]
  EJFNJEFF_01249      K10215  498.47   20.2   1.7e-05 monooxygenase [EC:1.14.13.-]
  EJFNJEFF_01249      K17872  378.27   19.9   2.1e-05 demethylphylloquinone reductase [EC:1.6.5.12]
  EJFNJEFF_01249      K18209  641.13   19.4   2.8e-05 fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1]
  EJFNJEFF_01249      K00112  119.37   19.2   4.4e-05 glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
  EJFNJEFF_01249      K14520  602.60   18.5   4.8e-05 4-hydroxyacetophenone monooxygenase [EC:1.14.13.84]
  EJFNJEFF_01249      K15873 1525.10   18.3   6.3e-05 7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]
  EJFNJEFF_01249      K00278  517.87   17.7   8.3e-05 L-aspartate oxidase [EC:1.4.3.16]
  EJFNJEFF_01249      K16885  611.93   17.5   0.00014 quinone-modifying oxidoreductase, subunit QmoA
  EJFNJEFF_01249      K00486  330.67   17.4   0.00011 kynurenine 3-monooxygenase [EC:1.14.13.9]
  EJFNJEFF_01249      K00244  389.23   17.4   0.00013 fumarate reductase flavoprotein subunit [EC:1.3.5.4]
  EJFNJEFF_01249      K15972  740.47   16.3   0.00027 tetracenomycin A2 monooxygenase-dioxygenase [EC:1.14.13.200]
  EJFNJEFF_01249      K03185  415.73   15.4   0.00053 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
  EJFNJEFF_01249      K05898  303.93   15.2   0.00044 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]
  EJFNJEFF_01249      K24952 1038.13   15.2   0.00069 nopaline oxidase subunit A
  EJFNJEFF_01249      K00317  741.73   15.1   0.00042 dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
  EJFNJEFF_01249      K17218  235.73   15.1   0.00072 sulfide:quinone oxidoreductase [EC:1.8.5.4]
  EJFNJEFF_01249      K18359  595.37   14.7    0.0011 phenylglyoxylate dehydrogenase epsilon subunit [EC:1.2.1.58]
  EJFNJEFF_01249      K03380  320.57   14.5   0.00085 phenol 2-monooxygenase (NADPH) [EC:1.14.13.7]
  EJFNJEFF_01249      K03897  375.37   14.3   0.00095 lysine N6-hydroxylase [EC:1.14.13.59]
  EJFNJEFF_01249      K05712  374.77   13.0    0.0026 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
  EJFNJEFF_01249      K02846  397.00   12.9    0.0038 N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
  EJFNJEFF_01249      K03885  210.50   12.9    0.0029 NADH:ubiquinone reductase (H+-translocating) [EC:7.1.1.2]
  EJFNJEFF_01249      K16886  813.73   12.8    0.0027 quinone-modifying oxidoreductase, subunit QmoB
  EJFNJEFF_01249      K00394  351.50   12.8    0.0029 adenylylsulfate reductase, subunit A [EC:1.8.99.2]
  EJFNJEFF_01249      K24122       -   12.4    0.0033 limonene dehydrogenase [EC:1.17.99.8]
  EJFNJEFF_01249      K00313  269.93   12.2    0.0059 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
  EJFNJEFF_01249      K20611  696.83   12.0    0.0053 1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase [EC:1.3.99.37]
  EJFNJEFF_01249      K18556  922.97   11.9    0.0053 NADH-dependent fumarate reductase subunit A [EC:1.3.1.6]
  EJFNJEFF_01249      K10815  730.23   11.9    0.0051 hydrogen cyanide synthase HcnB [EC:1.4.99.5]
  EJFNJEFF_01249      K10676  458.47   11.8    0.0064 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]
  EJFNJEFF_01249      K14672  528.47   11.6    0.0076 putative polyketide hydroxylase
  EJFNJEFF_01249      K22567       -   11.5    0.0095 rubredoxin---NAD+ reductase [EC:1.18.1.1]
  EJFNJEFF_01249      K22699  262.43   11.4     0.014 sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]
  EJFNJEFF_01249      K00468  410.10   11.4    0.0081 lysine 2-monooxygenase [EC:1.13.12.2]
  EJFNJEFF_01249      K17363  602.27   11.3    0.0078 urocanate reductase [EC:1.3.99.33]
  EJFNJEFF_01249      K04094  344.23   10.9     0.011 methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
  EJFNJEFF_01249      K00207  417.00   10.7    0.0088 dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
  EJFNJEFF_01249      K00528   99.27   10.7      0.02 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
  EJFNJEFF_01249      K06443  119.53   10.6     0.018 lycopene beta-cyclase [EC:5.5.1.19]
  EJFNJEFF_01249      K00239  637.47   10.5     0.015 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
  EJFNJEFF_01249      K10210  532.23   10.2      0.02 diapolycopene oxygenase [EC:1.14.99.44]
  EJFNJEFF_01249      K13796  345.73   10.1     0.018 tricarballylate dehydrogenase
  EJFNJEFF_01249      K16051  381.87    9.1     0.039 3-oxo-5alpha-steroid 4-dehydrogenase [EC:1.3.99.5]
  EJFNJEFF_01249      K02293  508.40    8.8     0.039 15-cis-phytoene desaturase [EC:1.3.5.5]
  EJFNJEFF_01249      K21060  445.70    6.4      0.32 D-hydroxyproline dehydrogenase [EC:1.5.99.-]
  EJFNJEFF_01249      K00285  271.80    5.4      0.59 D-amino-acid dehydrogenase [EC:1.4.5.1]
* EJFNJEFF_01250      K16013  510.50  698.6  1.3e-210 ATP-binding cassette, subfamily C, bacterial CydD
  EJFNJEFF_01250      K16014  920.83  521.4  6.3e-157 ATP-binding cassette, subfamily C, bacterial CydCD
  EJFNJEFF_01250      K06148  581.00  402.8  2.9e-121 ATP-binding cassette, subfamily C, bacterial
  EJFNJEFF_01250      K06147  622.70  368.3    1e-110 ATP-binding cassette, subfamily B, bacterial
  EJFNJEFF_01250      K11085  724.80  366.2  3.3e-110 ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]
  EJFNJEFF_01250      K14699  603.53  358.6  7.7e-108 ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]
  EJFNJEFF_01250      K14698  616.33  344.6  1.2e-103 ATP-binding cassette, subfamily B, bacterial IrtA/YbtP [EC:7.-.-.-]
  EJFNJEFF_01250      K18890  711.33  343.5  2.2e-103 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_01250      K18889  664.70  312.4   6.2e-94 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_01250      K16012  452.43  308.9   7.4e-93 ATP-binding cassette, subfamily C, bacterial CydC
  EJFNJEFF_01250      K18104  618.43  300.3   2.1e-90 ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]
  EJFNJEFF_01250      K20344  769.87  290.6   1.9e-87 ATP-binding cassette, subfamily C, bacteriocin exporter
  EJFNJEFF_01250      K18888  706.20  265.6   8.7e-80 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_01250      K02021  513.30  265.5     1e-79 putative ABC transport system ATP-binding protein
  EJFNJEFF_01250      K24846  517.97  264.6   1.4e-79 ATP-binding cassette, subfamily B, bacterial PglK [EC:7.5.2.-]
  EJFNJEFF_01250      K24708  677.63  255.6     7e-77 ATP-binding cassette, subfamily B, putative efflux pump [EC:7.6.2.-]
  EJFNJEFF_01250      K18887  706.87  250.1   4.1e-75 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_01250      K05665 1609.37  232.5   8.6e-70 ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]
  EJFNJEFF_01250      K11004  957.20  230.7     3e-69 ATP-binding cassette, subfamily B, bacterial HlyB/CyaB
  EJFNJEFF_01250      K24819  791.70  220.4   4.3e-66 ATP-binding cassette, subfamily B, beta-glucan exporter [EC:7.5.2.3]
  EJFNJEFF_01250      K24821  862.80  212.0   1.2e-63 ATP-binding cassette, subfamily B, heavy metal transporter
  EJFNJEFF_01250      K18893  780.17  207.5   3.2e-62 ATP-binding cassette, subfamily B, multidrug efflux pump
  EJFNJEFF_01250      K12541  666.57  204.5   2.1e-61 ATP-binding cassette, subfamily C, bacterial LapB
  EJFNJEFF_01250      K13409  689.87  201.6   1.6e-60 ATP-binding cassette, subfamily B, bacterial CvaB/MchF/RaxB
