# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EBNMPBKG_00007      K12297  549.43 1052.1         0 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]
  EBNMPBKG_01110      K03893  185.30   25.3   3.8e-07 arsenical pump membrane protein
  EBNMPBKG_01110      K13246  584.17   19.9   1.7e-05 c-di-GMP phosphodiesterase [EC:3.1.4.52]
  EBNMPBKG_01110      K22894  158.63   19.0   6.2e-05 SARP family transcriptional regulator, regulator of embCAB operon
  EBNMPBKG_01110      K24912  249.63   18.5   0.00013 LuxR family transcriptional regulator, transcriptional activator for aerial hyphae formation
  EBNMPBKG_01110      K19616 2202.33   15.2    0.0003 two-component system, sensor histidine kinase and response regulator FitF [EC:2.7.13.3]
  EBNMPBKG_01110      K08356  803.97   10.9    0.0075 arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]
  EBNMPBKG_01111      K07636  323.30  272.5   7.4e-82 two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
  EBNMPBKG_01111      K07652  456.43  217.6   4.2e-65 two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]
  EBNMPBKG_01111      K07651  509.07  205.6   1.3e-61 two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]
  EBNMPBKG_01111      K18940  371.37  205.5   1.3e-61 two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]
  EBNMPBKG_01111      K07768  338.03  193.8   5.6e-58 two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]
  EBNMPBKG_01111      K18345  341.50  185.7   1.3e-55 two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
  EBNMPBKG_01111      K07648  559.10  178.5     2e-53 two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]
  EBNMPBKG_01111      K07640  399.97  176.7   8.5e-53 two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]
  EBNMPBKG_01111      K11383  427.60  174.0   4.9e-52 two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]
  EBNMPBKG_01111      K02484  302.80  173.9   7.2e-52 two-component system, OmpR family, sensor kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K14982  312.70  173.5   5.4e-52 two-component system, OmpR family, sensor histidine kinase CiaH [EC:2.7.13.3]
  EBNMPBKG_01111      K07642  354.33  167.4   4.8e-50 two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]
  EBNMPBKG_01111      K20487  296.70  163.8     6e-49 two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]
  EBNMPBKG_01111      K11520  390.77  163.7   5.1e-49 two-component system, OmpR family, manganese sensing sensor histidine kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K07644  408.23  159.9   9.8e-48 two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]
  EBNMPBKG_01111      K11328  660.30  154.3   4.4e-46 two-component system, OmpR family, Ni(II)-sensor and/or redox sensor kinase NrsS [EC:2.7.13.3]
  EBNMPBKG_01111      K10681  344.10  153.2   8.4e-46 two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3]
  EBNMPBKG_01111      K07645  405.77  153.2   7.8e-46 two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]
  EBNMPBKG_01111      K07639  416.43  151.6     3e-45 two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]
  EBNMPBKG_01111      K20974  515.67  144.5   3.4e-43 two-component system, sensor histidine kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K07649  427.87  144.1   5.1e-43 two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]
  EBNMPBKG_01111      K10819  320.23  143.1     1e-42 histidine kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K13533  401.10  140.1   8.9e-42 two-component system, sporulation sensor kinase E [EC:2.7.13.3]
  EBNMPBKG_01111      K07678  639.73  139.6   1.3e-41 two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]
  EBNMPBKG_01111      K10942  281.00  138.7   2.1e-41 two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]
  EBNMPBKG_01111      K07679  609.43  136.6     8e-41 two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
  EBNMPBKG_01111      K07641  311.20  133.8   8.4e-40 two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]
  EBNMPBKG_01111      K07654  327.10  133.4   8.5e-40 two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]
  EBNMPBKG_01111      K07655  395.90  132.6   1.8e-39 two-component system, OmpR family, sensor histidine kinase PrrB [EC:2.7.13.3]
  EBNMPBKG_01111      K11527  624.80  131.1   4.1e-39 two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
  EBNMPBKG_01111      K02491  462.73  131.0   4.9e-39 two-component system, sporulation sensor kinase A [EC:2.7.13.3]
  EBNMPBKG_01111      K07716  394.13  129.3   1.7e-38 two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]
  EBNMPBKG_01111      K07638  333.50  129.2     2e-38 two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]
  EBNMPBKG_01111      K18350  267.73  128.4   3.1e-38 two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
  EBNMPBKG_01111      K11354  442.50  127.9     4e-38 two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]
  EBNMPBKG_01111      K07653  380.40  127.9   4.9e-38 two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]
  EBNMPBKG_01111      K19694  542.97  127.7   4.6e-38 two-component system, sensor histidine kinase ChiS
  EBNMPBKG_01111      K07698  405.87  127.4   6.6e-38 two-component system, sporulation sensor kinase C [EC:2.7.13.3]
  EBNMPBKG_01111      K07711  299.57  127.2   7.7e-38 two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]
  EBNMPBKG_01111      K18072  454.70  122.6   2.2e-36 two-component system, OmpR family, sensor kinase ParS [EC:2.7.13.3]
  EBNMPBKG_01111      K07769  738.60  122.2   1.7e-36 two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]
  EBNMPBKG_01111      K20975  371.73  121.7   3.4e-36 two-component system, sensor histidine kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K18143  339.60  118.0   4.4e-35 two-component system, OmpR family, sensor histidine kinase AdeS [EC:2.7.13.3]
  EBNMPBKG_01111      K14980  303.40  118.0   4.3e-35 two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]
  EBNMPBKG_01111      K07646  252.67  117.4     6e-35 two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
  EBNMPBKG_01111      K10715  601.27  117.4     4e-35 two-component system, sensor histidine kinase RpfC [EC:2.7.13.3]
  EBNMPBKG_01111      K07656  630.67  116.3   1.3e-34 two-component system, OmpR family, sensor histidine kinase TrcS [EC:2.7.13.3]
  EBNMPBKG_01111      K07709  323.77  112.5   2.2e-33 two-component system, NtrC family, sensor histidine kinase HydH [EC:2.7.13.3]
  EBNMPBKG_01111      K07710  383.00  112.4   2.1e-33 two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]
  EBNMPBKG_01111      K13924  369.33  112.2   1.8e-33 two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]
  EBNMPBKG_01111      K10909  503.70  112.1   2.2e-33 two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]
  EBNMPBKG_01111      K07650  288.73  111.4   4.5e-33 two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]
  EBNMPBKG_01111      K14986  302.83  109.5   1.9e-32 two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]
  EBNMPBKG_01111      K20973  728.90  107.9   5.2e-32 two-component system, sensor histidine kinase SagS [EC:2.7.13.3]
  EBNMPBKG_01111      K20971  282.57  107.4   7.6e-32 two-component system, sensor histidine kinase LadS
  EBNMPBKG_01111      K07647  611.23  106.7   8.3e-32 two-component system, OmpR family, sensor histidine kinase TorS [EC:2.7.13.3]
  EBNMPBKG_01111      K11356  509.67  105.3   2.6e-31 two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
  EBNMPBKG_01111      K11357  428.77  104.4   6.2e-31 two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]
  EBNMPBKG_01111      K18986  377.70  102.5   2.4e-30 two-component system, OmpR family, sensor kinase Ihk [EC:2.7.13.3]
  EBNMPBKG_01111      K13598  298.90  101.8   3.1e-30 two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
  EBNMPBKG_01111      K07697  312.47  101.1   5.9e-30 two-component system, sporulation sensor kinase B [EC:2.7.13.3]
  EBNMPBKG_01111      K02668  286.50  100.3   8.2e-30 two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]
  EBNMPBKG_01111      K13532  349.63   99.5   2.1e-29 two-component system, sporulation sensor kinase D [EC:2.7.13.3]
  EBNMPBKG_01111      K19609  433.20   97.3   7.3e-29 two-component system, OmpR family, sensor histidine kinase PfeS [EC:2.7.13.3]
  EBNMPBKG_01111      K07637  238.93   96.3   1.7e-28 two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]
  EBNMPBKG_01111      K18351  288.00   93.8     7e-28 two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
  EBNMPBKG_01111      K08479  392.00   92.9   1.9e-27 two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]
  EBNMPBKG_01111      K07677  706.73   92.2   2.6e-27 two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]
  EBNMPBKG_01111      K02489 2283.03   89.6   9.5e-27 two-component system, glycerol uptake and utilization sensor kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K02482  274.53   85.8   2.2e-25 two-component system, NtrC family, sensor kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K02486  318.27   83.2   1.3e-24 two-component system, sensor kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K07643  365.83   83.0   1.6e-24 two-component system, OmpR family, sensor histidine kinase BasS [EC:2.7.13.3]
  EBNMPBKG_01111      K13040  402.03   82.8   1.4e-24 two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]
  EBNMPBKG_01111      K19691  689.73   81.8   3.5e-24 osomolarity two-component system, sensor histidine kinase NIK1 [EC:2.7.13.3]
  EBNMPBKG_01111      K10916  348.63   80.9   5.3e-24 two-component system, CAI-1 autoinducer sensor kinase/phosphatase CqsS [EC:2.7.13.3 3.1.3.-]
  EBNMPBKG_01111      K15011  206.87   80.4   1.1e-23 two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
  EBNMPBKG_01111      K20972  755.47   80.2   9.1e-24 two-component system, sensor histidine kinase RetS
  EBNMPBKG_01111      K19622  329.60   78.9   3.7e-23 two-component system, response regulator PhcR
  EBNMPBKG_01111      K10125  311.87   78.2   6.3e-23 two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]
  EBNMPBKG_01111      K13587  345.27   76.8   8.9e-23 two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]
  EBNMPBKG_01111      K19692  682.00   75.3     3e-22 osomolarity two-component system, sensor histidine kinase TcsA [EC:2.7.13.3]
  EBNMPBKG_01111      K11633  291.73   74.4     1e-21 two-component system, OmpR family, sensor histidine kinase YxdK [EC:2.7.13.3]
  EBNMPBKG_01111      K07708  262.00   74.3   8.1e-22 two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]
  EBNMPBKG_01111      K14978  488.67   68.2     4e-20 two-component system, LuxR family, secretion system sensor histidine kinase SsrA
  EBNMPBKG_01111      K17060  805.90   65.6   2.4e-19 two-component system, sensor histidine kinase AauS [EC:2.7.13.3]
  EBNMPBKG_01111      K19077  386.97   62.7   2.9e-18 two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]
  EBNMPBKG_01111      K11711  448.70   61.4   4.9e-18 two-component system, LuxR family, sensor histidine kinase DctS [EC:2.7.13.3]
  EBNMPBKG_01111      K19621  492.13   60.3   1.7e-17 two-component system, sensor histidine kinase PhcS [EC:2.7.13.3]
  EBNMPBKG_01111      K11629  372.93   59.4   3.3e-17 two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS [EC:2.7.13.3]
  EBNMPBKG_01111      K19661  386.30   54.6   7.2e-16 two-component system, NtrC family, sensor histidine kinase HupT/HoxJ [EC:2.7.13.3]
  EBNMPBKG_01111      K19081  314.10   53.0   2.7e-15 two-component system, OmpR family, sensor histidine kinase BraS/BceS [EC:2.7.13.3]
  EBNMPBKG_01111      K23916  411.20   50.4   1.2e-14 nitrogen fixation regulatory protein
  EBNMPBKG_01111      K11637  621.13   49.1   2.6e-14 two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
  EBNMPBKG_01111      K08475  450.73   48.8   3.4e-14 two-component system, NtrC family, phosphoglycerate transport system sensor histidine kinase PgtB [EC:2.7.13.3]
  EBNMPBKG_01111      K19616 2202.33   47.1   6.8e-14 two-component system, sensor histidine kinase and response regulator FitF [EC:2.7.13.3]
  EBNMPBKG_01111      K11691  592.67   46.1   2.3e-13 two-component system, CitB family, sensor histidine kinase DctS [EC:2.7.13.3]
  EBNMPBKG_01111      K07704  587.70   45.6   4.1e-13 two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]
  EBNMPBKG_01111      K07717  227.67   44.7   6.3e-13 two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]
  EBNMPBKG_01111      K02476  526.60   40.0   1.5e-11 two-component system, CitB family, sensor kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K11614  647.67   39.4   2.1e-11 two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]
  EBNMPBKG_01111      K07718  278.30   38.1   5.6e-11 two-component system, sensor histidine kinase YesM [EC:2.7.13.3]
  EBNMPBKG_01111      K00936  113.13   32.5   4.1e-09 two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]
  EBNMPBKG_01111      K07777  255.77   31.6   6.7e-09 two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]
  EBNMPBKG_01111      K07700  519.37   31.2   6.6e-09 two-component system, CitB family, cit operon sensor histidine kinase CitA [EC:2.7.13.3]
  EBNMPBKG_01111      K02478  236.33   30.5   1.5e-08 two-component system, LytTR family, sensor kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K02480  239.40   28.2   8.1e-08 two-component system, NarL family, sensor kinase [EC:2.7.13.3]
  EBNMPBKG_01111      K07701  761.33   27.1     1e-07 two-component system, CitB family, sensor histidine kinase DcuS [EC:2.7.13.3]
  EBNMPBKG_01111      K20263  367.97   24.1   1.1e-06 two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]
  EBNMPBKG_01111      K06379  151.07   23.8   2.5e-06 stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]
  EBNMPBKG_01111      K17752  101.13   22.6   5.9e-06 serine/threonine-protein kinase RsbT [EC:2.7.11.1]
  EBNMPBKG_01111      K07683  270.20   22.6   4.5e-06 two-component system, NarL family, sensor histidine kinase NreB [EC:2.7.13.3]
  EBNMPBKG_01111      K04757   52.13   22.5   5.3e-06 serine/threonine-protein kinase RsbW [EC:2.7.11.1]
  EBNMPBKG_01111      K07675  246.03   18.5   8.1e-05 two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]
  EBNMPBKG_01111      K07673  468.93   16.8   0.00021 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]
  EBNMPBKG_01111      K22927  274.23   16.2   0.00026 cyclic-di-AMP phosphodiesterase [EC:3.1.4.59]
  EBNMPBKG_01111      K21084  335.63   15.8   0.00034 diguanylate cyclase [EC:2.7.7.65]
  EBNMPBKG_01111      K03407  491.93   13.9    0.0013 two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
  EBNMPBKG_01111      K21405  482.63   12.7    0.0041 sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
  EBNMPBKG_01111      K07682  211.03   11.3    0.0091 two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]
  EBNMPBKG_01111      K06994  227.53    9.5     0.018 putative drug exporter of the RND superfamily
  EBNMPBKG_01111      K13490  657.33    8.6     0.042 two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE
* EBNMPBKG_01112      K01141  217.77  774.8  4.9e-234 exodeoxyribonuclease I [EC:3.1.11.1]
  EBNMPBKG_01112      K02342  104.80   53.3   2.1e-15 DNA polymerase III subunit epsilon [EC:2.7.7.7]
  EBNMPBKG_01112      K13288   67.37   22.2   7.3e-06 oligoribonuclease [EC:3.1.-.-]
  EBNMPBKG_01112      K03763  834.27   21.4   3.3e-06 DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
  EBNMPBKG_01112      K10857  182.60   20.4   2.4e-05 exodeoxyribonuclease X [EC:3.1.11.-]
  EBNMPBKG_01112      K09951   46.07   11.6     0.011 CRISPR-associated protein Cas2
  EBNMPBKG_01113      K15270  169.40   29.5   3.9e-08 S-adenosylmethionine uptake transporter
  EBNMPBKG_01113      K03298  161.00   28.7     6e-08 drug/metabolite transporter, DME family
  EBNMPBKG_01113      K15268  167.40   24.3   1.2e-06 O-acetylserine/cysteine efflux transporter
  EBNMPBKG_01113      K08978   70.30   19.0   8.3e-05 bacterial/archaeal transporter family protein
  EBNMPBKG_01113      K11743  109.97   17.6    0.0002 spermidine export protein MdtJ
  EBNMPBKG_01113      K07790  236.03   17.2    0.0002 putative membrane protein PagO
  EBNMPBKG_01113      K12962   88.57   15.6    0.0011 undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE
  EBNMPBKG_01113      K11815  146.70   15.0    0.0021 multidrug resistance protein EbrB
  EBNMPBKG_01113      K11742   91.50   13.1     0.009 spermidine export protein MdtI
  EBNMPBKG_01113      K15269  157.80    9.4      0.04 probable blue pigment (indigoidine) exporter
  EBNMPBKG_01113      K11814  140.63    8.3      0.25 multidrug resistance protein EbrA
  EBNMPBKG_01113      K05786   98.40    7.8      0.12 chloramphenicol-sensitive protein RarD
  EBNMPBKG_01113      K07680  215.50    5.1      0.51 two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]
  EBNMPBKG_01113      K01992   18.90    0.6        20 ABC-2 type transport system permease protein
  EBNMPBKG_01114      K07503   77.77   31.6     8e-09 endonuclease [EC:3.1.-.-]
  EBNMPBKG_01114      K06206   96.60   11.2     0.014 sugar fermentation stimulation protein A
* EBNMPBKG_01115      K03632  336.63 2307.9         0 chromosome partition protein MukB
  EBNMPBKG_01115      K20478  237.57   47.8   2.5e-14 golgin subfamily B member 1
  EBNMPBKG_01115      K03546  166.57   43.5   1.6e-12 DNA repair protein SbcC/Rad50
  EBNMPBKG_01115      K03529  565.80   24.1     6e-07 chromosome segregation protein
  EBNMPBKG_01115      K19171  178.13   17.7    0.0001 DNA sulfur modification protein DndD
  EBNMPBKG_01115      K24259  873.33   15.6   0.00055 putative aminotransferase
* EBNMPBKG_01116      K03804  155.83  362.8    6e-110 chromosome partition protein MukE
* EBNMPBKG_01117      K03633  275.00  712.8  1.4e-215 chromosome partition protein MukF
  EBNMPBKG_01117      K05594   41.83    8.8      0.18 ElaB protein
* EBNMPBKG_01118      K14058  173.47  544.8  1.5e-164 tRNA 2-thiocytidine biosynthesis protein TtcA
  EBNMPBKG_01118      K21947  286.97  132.9   9.9e-40 tRNA-5-methyluridine54 2-sulfurtransferase [EC:2.8.1.15]
  EBNMPBKG_01118      K14168  263.27   80.2   1.2e-23 cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]
  EBNMPBKG_01118      K04075  118.50   71.9   5.5e-21 tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
  EBNMPBKG_01118      K15780  466.20   47.2   9.3e-14 bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]
  EBNMPBKG_01118      K06864   87.67   22.9   3.3e-06 pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]
  EBNMPBKG_01118      K07134  235.80   22.7   5.1e-06 uncharacterized protein
  EBNMPBKG_01118      K00566  406.33   16.8    0.0002 tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
  EBNMPBKG_01118      K19170  143.30   13.6     0.002 DNA sulfur modification protein DndC
  EBNMPBKG_01118      K06920   97.30   12.5    0.0048 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
  EBNMPBKG_01118      K01953  100.53   10.6     0.016 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
  EBNMPBKG_01118      K00390  157.27    9.9     0.037 phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
* EBNMPBKG_01119      K11179  135.93  191.7     1e-57 tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]
  EBNMPBKG_01119      K23077  126.90  124.3     2e-37 dissimilatory sulfite reductase related protein
  EBNMPBKG_01119      K17218  235.73   65.1   4.8e-19 sulfide:quinone oxidoreductase [EC:1.8.5.4]
  EBNMPBKG_01120      K02019   76.70   57.4   1.4e-16 molybdate transport system regulatory protein
  EBNMPBKG_01120      K02017  359.33   28.4   8.1e-08 molybdate transport system ATP-binding protein [EC:7.3.2.5]
  EBNMPBKG_01120      K15497  378.10   19.0     7e-05 molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6]
  EBNMPBKG_01120      K02018  245.83   17.0   0.00018 molybdate transport system permease protein
  EBNMPBKG_01121      K10936  281.47   12.7    0.0073 accessory colonization factor AcfA
* EBNMPBKG_01122      K07263  263.90  295.8     1e-88 zinc protease [EC:3.4.24.-]
  EBNMPBKG_01122      K17732  709.80   92.0   2.7e-27 mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]
  EBNMPBKG_01122      K01408 1001.87   78.1   3.7e-23 insulysin [EC:3.4.24.56]
  EBNMPBKG_01122      K01407  854.20   71.0   5.3e-21 protease III [EC:3.4.24.55]
  EBNMPBKG_01122      K06972  204.63   40.6   6.1e-12 presequence protease [EC:3.4.24.-]
* EBNMPBKG_01123      K01868  178.20  905.0  4.6e-273 threonyl-tRNA synthetase [EC:6.1.1.3]
  EBNMPBKG_01123      K01881  154.23  119.9   1.3e-35 prolyl-tRNA synthetase [EC:6.1.1.15]
  EBNMPBKG_01123      K01892  276.90   57.3   9.1e-17 histidyl-tRNA synthetase [EC:6.1.1.21]
  EBNMPBKG_01123      K01875   76.97   53.1   1.7e-15 seryl-tRNA synthetase [EC:6.1.1.11]
  EBNMPBKG_01123      K07050  196.93   28.6   5.1e-08 misacylated tRNA(Ala) deacylase [EC:3.1.1.-]
  EBNMPBKG_01123      K01872  198.07   28.3   4.6e-08 alanyl-tRNA synthetase [EC:6.1.1.7]
  EBNMPBKG_01123      K01880  200.40   15.7   0.00031 glycyl-tRNA synthetase [EC:6.1.1.14]
  EBNMPBKG_01123      K11627  646.93   12.9    0.0041 pyrrolysyl-tRNA synthetase [EC:6.1.1.26]
* EBNMPBKG_01124      K01118   88.97  238.4   1.1e-71 FMN-dependent NADH-azoreductase [EC:1.7.1.17]
  EBNMPBKG_01124      K00355  115.00   47.0   2.5e-13 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  EBNMPBKG_01124      K16902  285.93   27.0   2.3e-07 FAD reductase [NAD(P)H] [EC:1.5.1.45]
  EBNMPBKG_01124      K03206  149.00   25.9   6.6e-07 azobenzene reductase [EC:1.7.1.6]
  EBNMPBKG_01124      K00299  100.13   23.3   2.3e-06 FMN reductase [EC:1.5.1.38]
  EBNMPBKG_01124      K11748  220.03   22.0   7.6e-06 glutathione-regulated potassium-efflux system ancillary protein KefG
  EBNMPBKG_01124      K08071  405.57   21.4   9.5e-06 ribosyldihydronicotinamide dehydrogenase (quinone) [EC:1.10.5.1]
  EBNMPBKG_01124      K19784  107.10   21.3   1.5e-05 chromate reductase, NAD(P)H dehydrogenase (quinone)
  EBNMPBKG_01124      K22394  266.70   16.7    0.0004 flavin reductase (NADH) subunit 2 [EC:1.5.1.36]
  EBNMPBKG_01124      K03923  161.33   13.6    0.0034 NADPH dehydrogenase (quinone) [EC:1.6.5.10]
  EBNMPBKG_01124      K03809   67.43   13.2    0.0037 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  EBNMPBKG_01124      K11746  232.80   12.9     0.005 glutathione-regulated potassium-efflux system ancillary protein KefF
  EBNMPBKG_01124      K23529  373.00   12.6    0.0069 2-hydroxy-1,4-benzoquinone reductase [EC:1.6.5.7]
* EBNMPBKG_01125      K03168  457.30  883.8  1.4e-266 DNA topoisomerase I [EC:5.6.2.1]
  EBNMPBKG_01125      K03170  759.27  363.7  1.5e-109 reverse gyrase [EC:5.6.2.2 3.6.4.12]
  EBNMPBKG_01125      K03169  549.60  339.8  2.9e-102 DNA topoisomerase III [EC:5.6.2.1]
  EBNMPBKG_01125      K07479  203.43   34.9   1.4e-09 putative DNA topoisomerase
  EBNMPBKG_01125      K03057   90.57   14.4    0.0034 transcription factor S
  EBNMPBKG_01125      K07743   68.00    9.5     0.098 transcriptional regulator
  EBNMPBKG_01125      K05826   37.77    7.2      0.46 alpha-aminoadipate/glutamate carrier protein LysW
  EBNMPBKG_01126      K18900  332.13  321.4   7.9e-97 LysR family transcriptional regulator, regulator for bpeEF and oprC
  EBNMPBKG_01126      K21698  281.30  255.2     7e-77 LysR family transcriptional regulator, transcriptional activator for aaeXAB operon
  EBNMPBKG_01126      K10918  288.87  244.9   9.8e-74 LysR family transcriptional regulator, transcriptional activator AphB
  EBNMPBKG_01126      K16135  332.87  241.9   9.5e-73 LysR family transcriptional regulator, transcriptional activator for dmlA
  EBNMPBKG_01126      K21742  511.00  191.5   1.5e-57 LysR family transcriptional regulator, transcriptional activator for ttdABT operon
  EBNMPBKG_01126      K18927  405.70  172.0     1e-51 LysR family transcriptional regulator, L-lactate utilization regulator
  EBNMPBKG_01126      K03566  204.87  152.3   1.9e-45 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
  EBNMPBKG_01126      K22711  388.63  146.1   9.5e-44 LysR family transcriptional regulator, pyoluteorin biosynthesis regulator
  EBNMPBKG_01126      K21900  290.73  134.8   3.7e-40 LysR family transcriptional regulator, transcriptional activator of the cysJI operon
  EBNMPBKG_01126      K24082  517.17  127.8   3.9e-38 LysR family transcriptional regulator, regulator of peptidoglycan recycling
  EBNMPBKG_01126      K11921  279.23  116.6   1.3e-34 LysR family transcriptional regulator, cyn operon transcriptional activator
  EBNMPBKG_01126      K21703  295.30  116.3   1.5e-34 LysR family transcriptional regulator, low CO2-responsive transcriptional regulator
  EBNMPBKG_01126      K09681  289.03  115.3   3.2e-34 LysR family transcriptional regulator, transcription activator of glutamate synthase operon
  EBNMPBKG_01126      K21711  375.47  108.3   4.5e-32 LysR family transcriptional regulator, putative pyruvate carboxylase regulator
  EBNMPBKG_01126      K17850  329.47  107.9   4.8e-32 LysR family transcriptional regulator, regulator of gene expression of beta-lactamase
  EBNMPBKG_01126      K21755  246.80  101.1   6.2e-30 LysR family transcriptional regulator, salicylic acid-responsive activator of bsdBCD
