# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* HOLGGCEK_00001      K03495  294.00 1004.9  2.4e-303 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
  HOLGGCEK_00753      K01552  410.27   13.5    0.0018 energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]
  HOLGGCEK_00753      K18554   78.47   13.5    0.0041 chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]
  HOLGGCEK_00753      K07128  138.13   13.3    0.0021 uncharacterized protein
  HOLGGCEK_00753      K22399  199.27   13.0    0.0029 pachytene checkpoint protein 2
  HOLGGCEK_00753      K19079  442.77   13.0    0.0042 cationic antimicrobial peptide transport system ATP-binding protein
  HOLGGCEK_00753      K00860  317.33   12.9    0.0047 adenylylsulfate kinase [EC:2.7.1.25]
  HOLGGCEK_00753      K19270  212.33   12.6    0.0055 mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50]
  HOLGGCEK_00753      K02068  246.37   12.4    0.0061 UDP-glucose/iron transport system ATP-binding protein
  HOLGGCEK_00753      K05774  110.73   12.3    0.0065 ribose 1,5-bisphosphokinase [EC:2.7.4.23]
  HOLGGCEK_00753      K02013  257.90   12.1    0.0056 iron complex transport system ATP-binding protein [EC:7.2.2.-]
  HOLGGCEK_00753      K04748  189.77   11.4     0.014 nitric oxide reductase NorQ protein
  HOLGGCEK_00753      K10008  419.40   11.0     0.014 glutamate transport system ATP-binding protein [EC:7.4.2.1]
  HOLGGCEK_00753      K09013  164.80   10.6     0.018 Fe-S cluster assembly ATP-binding protein
  HOLGGCEK_00753      K00851   50.60   10.5     0.023 gluconokinase [EC:2.7.1.12]
  HOLGGCEK_00753      K06925   62.83   10.5     0.035 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
  HOLGGCEK_00753      K13829  521.30   10.5     0.013 shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]
  HOLGGCEK_00753      K02243  325.10    9.3     0.045 competence protein ComGA
* HOLGGCEK_00754      K02945  158.50  513.8  9.8e-155 small subunit ribosomal protein S1
  HOLGGCEK_00754      K06959  448.10  174.8   2.6e-52 protein Tex
  HOLGGCEK_00754      K00962  309.97  135.2   2.2e-40 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
  HOLGGCEK_00754      K12573  480.03   71.7   3.6e-21 ribonuclease R [EC:3.1.13.1]
  HOLGGCEK_00754      K07571  141.73   68.9   3.9e-20 S1 RNA binding domain protein
  HOLGGCEK_00754      K07570  126.43   64.0   1.3e-18 general stress protein 13
  HOLGGCEK_00754      K03049  178.23   60.2   1.7e-17 DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]
  HOLGGCEK_00754      K02357  114.53   55.4   3.5e-16 elongation factor Ts
  HOLGGCEK_00754      K12818 1157.90   47.5   6.2e-14 ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]
  HOLGGCEK_00754      K00243  156.30   39.1   4.6e-11 uncharacterized protein
  HOLGGCEK_00754      K03237  117.33   20.3   1.5e-05 translation initiation factor 2 subunit 1
  HOLGGCEK_00754      K07463  148.63   19.5   2.2e-05 archaea-specific RecJ-like exonuclease
  HOLGGCEK_00754      K07573   72.53   11.7    0.0099 exosome complex component CSL4
  HOLGGCEK_00754      K02777  191.33    7.5      0.29 sugar PTS system EIIA component [EC:2.7.1.-]
  HOLGGCEK_00754      K03210   40.00    5.6       1.5 preprotein translocase subunit YajC
  HOLGGCEK_00754      K01147  397.23    2.8       2.7 exoribonuclease II [EC:3.1.13.1]
* HOLGGCEK_00755      K05788  122.57  143.8   4.7e-43 integration host factor subunit beta
  HOLGGCEK_00755      K03530  114.33   96.7   1.6e-28 DNA-binding protein HU-beta
  HOLGGCEK_00755      K04764  114.83   91.8   3.4e-27 integration host factor subunit alpha
  HOLGGCEK_00755      K05787  140.70   81.5   3.9e-24 DNA-binding protein HU-alpha
* HOLGGCEK_00756      K08992   31.17   53.8   2.3e-15 lipopolysaccharide assembly protein A
  HOLGGCEK_00756      K16248  496.53   16.6   0.00024 probable glucitol transport protein GutA
  HOLGGCEK_00756      K02498   96.80   14.7     0.001 HemY protein
  HOLGGCEK_00756      K03803   42.50   14.1    0.0028 sigma-E factor negative regulatory protein RseC
  HOLGGCEK_00756      K03453  221.03   12.6    0.0043 bile acid:Na+ symporter, BASS family
  HOLGGCEK_00756      K16915   47.70   12.4    0.0095 nickel transport protein
  HOLGGCEK_00756      K09811   78.50   12.2    0.0061 cell division transport system permease protein
  HOLGGCEK_00756      K07403  136.97   11.5    0.0088 membrane-bound serine protease (ClpP class)
  HOLGGCEK_00756      K08970   45.83   11.2     0.011 nickel/cobalt transporter (NicO) family protein
  HOLGGCEK_00756      K03799  136.10   10.0      0.03 heat shock protein HtpX [EC:3.4.24.-]
  HOLGGCEK_00756      K09976   57.20    8.3      0.22 uncharacterized protein
  HOLGGCEK_00756      K07333   98.83    8.2     0.059 archaeal flagellar protein FlaJ
  HOLGGCEK_00756      K02004   45.07    6.3      0.24 putative ABC transport system permease protein
  HOLGGCEK_00756      K02574  130.80    5.7       0.7 ferredoxin-type protein NapH
  HOLGGCEK_00756      K13052   53.00    3.8       4.9 cell division protein DivIC
  HOLGGCEK_00756      K03073   22.27    3.8         5 preprotein translocase subunit SecE
* HOLGGCEK_00757      K19804   98.23  384.3  1.1e-115 lipopolysaccharide assembly protein B
  HOLGGCEK_00757      K09667  219.30   53.1   1.5e-15 protein O-GlcNAc transferase [EC:2.4.1.255]
  HOLGGCEK_00757      K23424  191.40   41.8   4.5e-12 protein O-mannosyl-transferase [EC:2.4.1.-]
  HOLGGCEK_00757      K04018  204.10   33.9   2.2e-09 formate-dependent nitrite reductase complex subunit NrfG
  HOLGGCEK_00757      K20480  178.00   31.9   7.8e-09 HTH-type transcriptional regulator, quorum sensing regulator NprR
  HOLGGCEK_00757      K12600  204.73   29.7   1.4e-08 superkiller protein 3
  HOLGGCEK_00757      K02498   96.80   29.1   4.4e-08 HemY protein
  HOLGGCEK_00757      K19673 1926.80   26.2   1.1e-07 tetratricopeptide repeat protein 21B
  HOLGGCEK_00757      K04485  102.83   25.6   4.2e-07 DNA repair protein RadA/Sms
  HOLGGCEK_00757      K19360  549.73   25.0   3.3e-07 nephrocystin-3
  HOLGGCEK_00757      K20543  110.53   22.7   2.3e-06 cellulose synthase operon protein C
  HOLGGCEK_00757      K03556  121.87   20.2   1.7e-05 LuxR family transcriptional regulator, maltose regulon positive regulatory protein
  HOLGGCEK_00757      K00575  175.43   18.4   7.5e-05 chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
  HOLGGCEK_00757      K12284  105.03   17.1   0.00028 MSHA biogenesis protein MshN
  HOLGGCEK_00757      K07743   68.00   16.6   0.00061 transcriptional regulator
  HOLGGCEK_00757      K11935  293.37   16.5    0.0002 biofilm PGA synthesis protein PgaA
  HOLGGCEK_00757      K11898  121.17   14.8    0.0013 type VI secretion system protein ImpE
  HOLGGCEK_00757      K11739  123.07   14.7   0.00069 bacteriophage N4 adsorption protein A
  HOLGGCEK_00757      K02656  112.13   14.7    0.0012 type IV pilus assembly protein PilF
  HOLGGCEK_00757      K05838  158.73   14.7    0.0014 putative thioredoxin
  HOLGGCEK_00757      K03059   45.83   14.6    0.0019 DNA-directed RNA polymerase subunit P [EC:2.7.7.6]
  HOLGGCEK_00757      K07280   51.17   13.5    0.0022 outer membrane protein
  HOLGGCEK_00757      K05803   82.13   13.4    0.0034 lipoprotein NlpI
  HOLGGCEK_00757      K19737  336.03   13.3    0.0017 type II protein arginine methyltransferase [EC:2.1.1.320]
  HOLGGCEK_00757      K15368  114.70   12.9    0.0067 secretion system chaperone SscA
  HOLGGCEK_00757      K06193   40.03   12.6    0.0086 protein PhnA
  HOLGGCEK_00757      K21010   54.30   11.9    0.0075 polysaccharide biosynthesis protein PelE
  HOLGGCEK_00757      K12512  180.63   11.8    0.0092 tight adherence protein D
  HOLGGCEK_00757      K21007  317.43   11.3    0.0061 polysaccharide biosynthesis protein PelB
  HOLGGCEK_00757      K16247  183.40   11.1    0.0081 LuxR family transcriptional regulator, glucitol operon activator
  HOLGGCEK_00757      K04060   61.77   10.5     0.051 type III secretion protein Y
  HOLGGCEK_00757      K05807   76.00    7.2       0.3 outer membrane protein assembly factor BamD
  HOLGGCEK_00757      K07121  164.87    2.0       6.7 uncharacterized protein
* HOLGGCEK_00758      K01591  121.43  242.9   7.2e-73 orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
  HOLGGCEK_00758      K13421  361.53   39.2   2.9e-11 uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]
  HOLGGCEK_00758      K03078  220.07   20.2   3.3e-05 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]
  HOLGGCEK_00758      K18287  340.97   19.3   4.2e-05 2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate synthase [EC:4.1.2.56]
  HOLGGCEK_00758      K13831  322.07   15.8   0.00047 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]
  HOLGGCEK_00758      K08093  172.00   15.7   0.00059 3-hexulose-6-phosphate synthase [EC:4.1.2.43]
  HOLGGCEK_00758      K13812  350.50   15.3   0.00059 bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]
  HOLGGCEK_00758      K11645  285.67   14.6    0.0013 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
  HOLGGCEK_00758      K16306  344.80   13.7    0.0024 fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]
* HOLGGCEK_00759      K03113   52.10   67.6   1.8e-19 translation initiation factor 1
* HOLGGCEK_00760      K10763  174.07  304.4   5.8e-92 DnaA-homolog protein
  HOLGGCEK_00760      K02313  126.30   84.5   6.8e-25 chromosomal replication initiator protein
  HOLGGCEK_00760      K02315  143.60   36.5   1.9e-10 DNA replication protein DnaC
  HOLGGCEK_00760      K11144  153.13   25.0   1.1e-06 primosomal protein DnaI
  HOLGGCEK_00760      K07133  110.67   24.4   1.1e-06 uncharacterized protein
  HOLGGCEK_00760      K06921   80.47   20.4   2.4e-05 uncharacterized protein
  HOLGGCEK_00760      K06916  417.00   18.2   8.9e-05 cell division protein ZapE
  HOLGGCEK_00760      K07478  227.73   15.9   0.00034 putative ATPase
  HOLGGCEK_00760      K04484  217.20   14.9    0.0012 DNA repair protein RadB
  HOLGGCEK_00760      K03112   60.57   14.4    0.0022 DamX protein
  HOLGGCEK_00760      K02340   99.77   13.7    0.0027 DNA polymerase III subunit delta [EC:2.7.7.7]
  HOLGGCEK_00760      K12283  365.07   13.6    0.0027 MSHA biogenesis protein MshM
  HOLGGCEK_00760      K02450  363.97   13.2    0.0033 general secretion pathway protein A
  HOLGGCEK_00760      K06947  140.53   13.0    0.0029 polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [EC:2.7.1.-]
  HOLGGCEK_00760      K05776  298.33   12.3    0.0046 molybdate transport system ATP-binding protein
  HOLGGCEK_00760      K19171  178.13   11.9    0.0055 DNA sulfur modification protein DndD
  HOLGGCEK_00760      K18798  474.37   10.9     0.013 peroxisome-assembly ATPase [EC:3.6.4.7]
  HOLGGCEK_00760      K06915  113.03   10.8     0.015 uncharacterized protein
  HOLGGCEK_00760      K07331  151.93   10.6     0.025 archaeal flagellar protein FlaH
  HOLGGCEK_00760      K15255  113.67    9.7      0.02 ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]
  HOLGGCEK_00760      K02283  323.70    9.2     0.038 pilus assembly protein CpaF [EC:7.4.2.8]
  HOLGGCEK_00760      K09812  292.07    9.1     0.068 cell division transport system ATP-binding protein
  HOLGGCEK_00760      K07128  138.13    8.7     0.052 uncharacterized protein
  HOLGGCEK_00760      K08482  143.33    5.3      0.54 circadian clock protein KaiC
  HOLGGCEK_00760      K10554  390.77    4.6       1.7 fructose transport system ATP-binding protein
* HOLGGCEK_00761      K02824  463.53  574.2  1.8e-173 uracil permease
  HOLGGCEK_00761      K09016  596.87  275.0   9.4e-83 putative pyrimidine permease RutG
  HOLGGCEK_00761      K16169  589.13  187.0   4.4e-56 xanthine permease
  HOLGGCEK_00761      K24206  587.90  179.6   7.4e-54 uric acid transporter
  HOLGGCEK_00761      K16345  575.43  154.7   2.5e-46 xanthine permease XanP
  HOLGGCEK_00761      K16170  715.07  152.6   1.2e-45 uric acid permease
  HOLGGCEK_00761      K16346  634.73   86.7   1.2e-25 xanthine permease XanQ
  HOLGGCEK_00761      K03458  934.27   82.6   2.5e-24 nucleobase:cation symporter-2, NCS2 family
  HOLGGCEK_00761      K14611  496.13   78.3   3.6e-23 solute carrier family 23 (nucleobase transporter), member 1
  HOLGGCEK_00761      K03321  359.47   21.6   5.1e-06 sulfate permease, SulP family
  HOLGGCEK_00761      K00127   94.70    1.3        17 formate dehydrogenase subunit gamma
* HOLGGCEK_00762      K00761  197.00  280.4   1.8e-84 uracil phosphoribosyltransferase [EC:2.4.2.9]
  HOLGGCEK_00762      K00876  151.73   33.5   1.8e-09 uridine kinase [EC:2.7.1.48]
  HOLGGCEK_00762      K00948   68.57   21.8   7.8e-06 ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
  HOLGGCEK_00762      K07100   70.27   19.9   1.5e-05 putative phosphoribosyl transferase
  HOLGGCEK_00762      K00759  103.90   19.7   4.4e-05 adenine phosphoribosyltransferase [EC:2.4.2.7]
  HOLGGCEK_00762      K00762   91.37   18.7   8.8e-05 orotate phosphoribosyltransferase [EC:2.4.2.10]
  HOLGGCEK_00762      K00760   96.43   18.7   7.1e-05 hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
* HOLGGCEK_00763      K02343  223.80  589.1  1.1e-177 DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
  HOLGGCEK_00763      K02341  234.77  212.3   1.6e-63 DNA polymerase III subunit delta' [EC:2.7.7.7]
  HOLGGCEK_00763      K04801  395.47  106.3   1.3e-31 replication factor C small subunit
  HOLGGCEK_00763      K07478  227.73   86.0     2e-25 putative ATPase
  HOLGGCEK_00763      K10756  300.93   74.0   9.8e-22 replication factor C subunit 3/5
  HOLGGCEK_00763      K10754  317.40   31.7     4e-09 replication factor C subunit 1
  HOLGGCEK_00763      K04800  300.40   31.1   9.5e-09 replication factor C large subunit
  HOLGGCEK_00763      K03551  169.53   27.0   1.8e-07 holliday junction DNA helicase RuvB [EC:3.6.4.12]
  HOLGGCEK_00763      K04076  425.00   25.5   4.3e-07 ATP-dependent Lon protease [EC:3.4.21.53]
  HOLGGCEK_00763      K03405  285.80   19.3   4.6e-05 magnesium chelatase subunit I [EC:6.6.1.1]
  HOLGGCEK_00763      K03694  935.20   18.9     3e-05 ATP-dependent Clp protease ATP-binding subunit ClpA
  HOLGGCEK_00763      K03404  473.57   18.1   8.1e-05 magnesium chelatase subunit D [EC:6.6.1.1]
  HOLGGCEK_00763      K03696 1087.87   16.7   0.00016 ATP-dependent Clp protease ATP-binding subunit ClpC
  HOLGGCEK_00763      K06921   80.47   16.3   0.00043 uncharacterized protein
  HOLGGCEK_00763      K03697  957.53   14.5   0.00073 ATP-dependent Clp protease ATP-binding subunit ClpE
  HOLGGCEK_00763      K03749   80.27   13.5    0.0049 DedD protein
  HOLGGCEK_00763      K06413  179.63   13.4    0.0028 stage V sporulation protein K
  HOLGGCEK_00763      K07472  631.73   12.4    0.0048 TBP-interacting protein
  HOLGGCEK_00763      K01338  858.33   12.4    0.0042 ATP-dependent Lon protease [EC:3.4.21.53]
  HOLGGCEK_00763      K18532   67.40    8.6     0.091 adenylate kinase [EC:2.7.4.3]
  HOLGGCEK_00763      K05192  752.63    7.0      0.18 gamma-aminobutyric acid receptor subunit theta
* HOLGGCEK_00764      K00759  103.90  268.2     7e-81 adenine phosphoribosyltransferase [EC:2.4.2.7]
  HOLGGCEK_00764      K00762   91.37   66.3   2.7e-19 orotate phosphoribosyltransferase [EC:2.4.2.10]
  HOLGGCEK_00764      K09685  139.80   65.3   3.3e-19 purine operon repressor
  HOLGGCEK_00764      K03816  141.13   64.0     1e-18 xanthine phosphoribosyltransferase [EC:2.4.2.22]
  HOLGGCEK_00764      K13421  361.53   29.3   2.9e-08 uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]
  HOLGGCEK_00764      K07101  122.20   23.6   2.9e-06 uncharacterized protein
  HOLGGCEK_00764      K02242   67.90   20.2   3.8e-05 competence protein ComFC
  HOLGGCEK_00764      K00948   68.57   20.1   2.5e-05 ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
  HOLGGCEK_00764      K02825   95.07   18.6     9e-05 pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
  HOLGGCEK_00764      K00769  112.73   17.1   0.00023 xanthine phosphoribosyltransferase [EC:2.4.2.22]
  HOLGGCEK_00764      K00761  197.00   16.7    0.0003 uracil phosphoribosyltransferase [EC:2.4.2.9]
  HOLGGCEK_00764      K00760   96.43   15.8   0.00053 hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
  HOLGGCEK_00764      K07100   70.27    9.4     0.021 putative phosphoribosyl transferase
* HOLGGCEK_00765      K00382  469.67  683.1  3.3e-206 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
  HOLGGCEK_00765      K00520  467.17  373.4  2.1e-112 mercuric reductase [EC:1.16.1.1]
  HOLGGCEK_00765      K17883  435.20  346.8  1.6e-104 mycothione reductase [EC:1.8.1.15]
  HOLGGCEK_00765      K21739  458.30  327.4   1.3e-98 probable pyridine nucleotide-disulfide oxidoreductase
  HOLGGCEK_00765      K00383  559.57  314.3   1.7e-94 glutathione reductase (NADPH) [EC:1.8.1.7]
  HOLGGCEK_00765      K23842  539.43  301.8     8e-91 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  HOLGGCEK_00765      K00322  430.37  295.3   6.1e-89 NAD(P) transhydrogenase [EC:1.6.1.1]
  HOLGGCEK_00765      K23076  828.33  196.1   8.4e-59 glutathione amide reductase [EC:1.8.1.16]
  HOLGGCEK_00765      K17870  464.10  162.2   1.4e-48 NADH oxidase (H2O2-forming) [EC:1.6.3.3]
  HOLGGCEK_00765      K18367  472.27  152.2   1.6e-45 CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18]
  HOLGGCEK_00765      K22364  797.07  133.0   8.4e-40 2-oxopropyl-CoM reductase (carboxylating) [EC:1.8.1.5]
  HOLGGCEK_00765      K03423  744.60  121.5   3.7e-36 bis-gamma-glutamylcystine reductase [EC:1.8.1.13]
  HOLGGCEK_00765      K00529  389.13  120.0   1.1e-35 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
  HOLGGCEK_00765      K00384  320.57   95.0   4.3e-28 thioredoxin reductase (NADPH) [EC:1.8.1.9]
  HOLGGCEK_00765      K00362  523.63   91.8   2.8e-27 nitrite reductase (NADH) large subunit [EC:1.7.1.15]
  HOLGGCEK_00765      K05910  521.50   88.8     3e-26 NADH peroxidase [EC:1.11.1.1]
  HOLGGCEK_00765      K22745  219.87   80.1   1.3e-23 apoptosis-inducing factor 2
  HOLGGCEK_00765      K22747  425.63   77.5     6e-23 apoptosis-inducing factor 3
  HOLGGCEK_00765      K18249  628.83   76.3     2e-22 anthranilate 1,2-dioxygenase ferredoxin reductase component [EC:1.18.1.-]
  HOLGGCEK_00765      K21567  367.73   74.7   6.6e-22 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
  HOLGGCEK_00765      K10797  673.07   74.3   5.5e-22 2-enoate reductase [EC:1.3.1.31]
  HOLGGCEK_00765      K12265  420.93   74.0   1.1e-21 nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]
  HOLGGCEK_00765      K08255  579.27   72.6   2.9e-21 CoA-disulfide reductase [EC:1.8.1.14]
  HOLGGCEK_00765      K17722  456.73   71.0   7.2e-21 dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]
  HOLGGCEK_00765      K05297  423.30   69.0   2.6e-20 rubredoxin---NAD+ reductase [EC:1.18.1.1]
  HOLGGCEK_00765      K21738  558.60   66.4   1.6e-19 rubredoxin---NAD+ reductase [EC:1.18.1.1]
  HOLGGCEK_00765      K22549  446.50   65.3   3.6e-19 D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
  HOLGGCEK_00765      K18227  501.73   63.5   1.4e-18 p-cumate 2,3-dioxygenase ferredoxin reductase component [EC:1.18.1.3]
  HOLGGCEK_00765      K00360  528.77   59.9   1.8e-17 assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
  HOLGGCEK_00765      K18559  795.57   56.5     2e-16 NADH-dependent fumarate reductase subunit D
  HOLGGCEK_00765      K18359  595.37   54.4   8.3e-16 phenylglyoxylate dehydrogenase epsilon subunit [EC:1.2.1.58]
  HOLGGCEK_00765      K00302 1271.27   54.3   5.7e-16 sarcosine oxidase, subunit alpha [EC:1.5.3.1]
  HOLGGCEK_00765      K17869  792.97   51.5   4.8e-15 NADH oxidase (H2O-forming) [EC:1.6.3.4]
  HOLGGCEK_00765      K03885  210.50   49.9   1.8e-14 NADH:ubiquinone reductase (H+-translocating) [EC:7.1.1.2]
  HOLGGCEK_00765      K12527  594.47   49.8     1e-14 putative selenate reductase [EC:1.97.1.9]
  HOLGGCEK_00765      K22567       -   45.6   3.9e-13 rubredoxin---NAD+ reductase [EC:1.18.1.1]
  HOLGGCEK_00765      K21833  739.10   45.3   3.2e-13 dimethylglycine catabolism A
  HOLGGCEK_00765      K03387  349.77   42.6   2.9e-12 NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
  HOLGGCEK_00765      K22345  575.67   41.7   5.6e-12 glucosaminate ammonia-lyase [EC:4.3.1.9]
  HOLGGCEK_00765      K18088  681.40   39.6   2.5e-11 biphenyl 2,3-dioxygenase ferredoxin reductase component [EC:1.18.1.3]
  HOLGGCEK_00765      K20202  968.90   38.7   3.7e-11 sulfide dehydrogenase subunit alpha [EC:1.8.1.19]
  HOLGGCEK_00765      K00266  511.93   37.7   8.6e-11 glutamate synthase (NADPH) small chain [EC:1.4.1.13]
  HOLGGCEK_00765      K15022  606.33   37.5   8.7e-11 formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]
  HOLGGCEK_00765      K03388  667.43   36.7   1.2e-10 heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
  HOLGGCEK_00765      K17872  378.27   36.4     2e-10 demethylphylloquinone reductase [EC:1.6.5.12]
  HOLGGCEK_00765      K24245       -   36.3   2.5e-10 5,5'-dehydrodivanillate O-demethylase ferredoxin reductase subunit [EC:1.18.1.-]
  HOLGGCEK_00765      K18090  857.17   35.7   5.3e-10 benzene/toluene/chlorobenzene dioxygenase ferredoxin reductase component [EC:1.18.1.3 1.18.1.-]
  HOLGGCEK_00765      K17830  252.87   33.4   1.9e-09 digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
  HOLGGCEK_00765      K00317  741.73   32.8   1.7e-09 dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
  HOLGGCEK_00765      K22551  972.27   32.0   3.4e-09 N-methyl-L-proline demethylase [EC:1.5.3.-]
  HOLGGCEK_00765      K24954  667.00   31.7   4.6e-09 octopine oxidase subunit A
  HOLGGCEK_00765      K21401  224.47   31.3   9.9e-09 menaquinone-9 beta-reductase [EC:1.3.99.38]
  HOLGGCEK_00765      K10815  730.23   31.0   7.3e-09 hydrogen cyanide synthase HcnB [EC:1.4.99.5]
  HOLGGCEK_00765      K00313  269.93   30.1   1.9e-08 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
  HOLGGCEK_00765      K10027  522.20   29.8   2.5e-08 phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
  HOLGGCEK_00765      K17363  602.27   29.3   2.6e-08 urocanate reductase [EC:1.3.99.33]
  HOLGGCEK_00765      K17218  235.73   29.0   4.1e-08 sulfide:quinone oxidoreductase [EC:1.8.5.4]
  HOLGGCEK_00765      K00244  389.23   28.8   4.3e-08 fumarate reductase flavoprotein subunit [EC:1.3.5.4]
  HOLGGCEK_00765      K09879  493.80   28.1   5.2e-08 carotenoid phi-ring synthase / carotenoid chi-ring synthase [EC:1.3.99.39 1.3.99.40]
  HOLGGCEK_00765      K07137  105.40   27.6   8.7e-08 uncharacterized protein
  HOLGGCEK_00765      K14520  602.60   27.3   9.4e-08 4-hydroxyacetophenone monooxygenase [EC:1.14.13.84]
  HOLGGCEK_00765      K18209  641.13   26.9   1.4e-07 fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1]
  HOLGGCEK_00765      K20940  389.97   26.6   2.2e-07 5-methylphenazine-1-carboxylate 1-monooxygenase [EC:1.14.13.218]
  HOLGGCEK_00765      K22699  262.43   26.4   3.6e-07 sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]
  HOLGGCEK_00765      K00514  465.03   26.2   2.6e-07 zeta-carotene desaturase [EC:1.3.5.6]
  HOLGGCEK_00765      K05898  303.93   26.0   2.3e-07 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]
  HOLGGCEK_00765      K00278  517.87   25.7   2.9e-07 L-aspartate oxidase [EC:1.4.3.16]
  HOLGGCEK_00765      K09845  531.57   25.7   3.5e-07 1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]
  HOLGGCEK_00765      K22480 1085.43   25.5   2.6e-07 heterodisulfide reductase subunit A1 [EC:1.8.7.3]
  HOLGGCEK_00765      K16886  813.73   25.4   3.9e-07 quinone-modifying oxidoreductase, subunit QmoB
  HOLGGCEK_00765      K00207  417.00   25.2   3.3e-07 dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
  HOLGGCEK_00765      K16885  611.93   25.2   5.9e-07 quinone-modifying oxidoreductase, subunit QmoA
  HOLGGCEK_00765      K14672  528.47   24.9   6.7e-07 putative polyketide hydroxylase
  HOLGGCEK_00765      K00219  581.60   24.8   4.5e-07 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
  HOLGGCEK_00765      K02293  508.40   24.8     5e-07 15-cis-phytoene desaturase [EC:1.3.5.5]
  HOLGGCEK_00765      K21677  290.43   24.6   7.5e-07 hydroxysqualene dehydroxylase [EC:1.17.8.1]
  HOLGGCEK_00765      K03380  320.57   24.1     1e-06 phenol 2-monooxygenase (NADPH) [EC:1.14.13.7]
  HOLGGCEK_00765      K10676  458.47   24.0   1.3e-06 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]
  HOLGGCEK_00765      K20611  696.83   23.6   1.5e-06 1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase [EC:1.3.99.37]
  HOLGGCEK_00765      K09835  397.70   23.4   1.3e-06 prolycopene isomerase [EC:5.2.1.13]
  HOLGGCEK_00765      K03153  264.43   22.4   5.8e-06 glycine oxidase [EC:1.4.3.19]
  HOLGGCEK_00765      K00231  141.70   21.8   6.3e-06 protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
  HOLGGCEK_00765      K16051  381.87   21.6   5.8e-06 3-oxo-5alpha-steroid 4-dehydrogenase [EC:1.3.99.5]
  HOLGGCEK_00765      K15745  569.57   21.3   7.1e-06 phytoene desaturase (3,4-didehydrolycopene-forming) [EC:1.3.99.30]
  HOLGGCEK_00765      K10210  532.23   20.8   1.2e-05 diapolycopene oxygenase [EC:1.14.99.44]
